movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in_$),path
tt0066969 ,Dauriya                                          ,1972,         ,182 min,"Adventure, Drama, History   ",6.9,Epic about Cossacks in the Siberian province of Dauria. Cossacks are living in their village like one big family under the guidance of a strong leader - Ataman.                                                                                                                                            ,Viktor Tregubovich                     ,/name/nm0871750/,"Arkadi Trusov, 
Pyotr Shelokhonov, 
Vera Kuznetsova, 
Vitali Solomin         ","/name/nm0874425/,/name/nm0791282/,/name/nm0476880/,/name/nm0813271/                 ",312,,D:/demo/output
tt0066969 ,Dauriya                                          ,1972,         ,182 min,"Adventure, Drama, History   ",6.9,Epic about Cossacks in the Siberian province of Dauria. Cossacks are living in their village like one big family under the guidance of a strong leader - Ataman.                                                                                                                                            ,Viktor Tregubovich                     ,/name/nm0871750/,"Arkadi Trusov, 
Pyotr Shelokhonov, 
Vera Kuznetsova, 
Vitali Solomin         ","/name/nm0874425/,/name/nm0791282/,/name/nm0476880/,/name/nm0813271/                 ",313,,D:/demo/output
tt0066982 ,Demons of the Mind                               ,1972,R        ,89 min ,"Horror, Thriller            ",5.3,"A physician discovers that two children are being kept virtually imprisoned in their house by their father. He investigates, and discovers a web of sex, incest, and Satanic possession.                                                                                                                    ",Peter Sykes                            ,/name/nm0843089/,"Robert Hardy, 
Shane Briant, 
Gillian Hills, 
Yvonne Mitchell                ","/name/nm0362735/,/name/nm0108470/,/name/nm0385122/,/name/nm0593814/                 ",1688,,D:/demo/output
tt0066982 ,Demons of the Mind                               ,1972,R        ,89 min ,"Horror, Thriller            ",5.3,"A physician discovers that two children are being kept virtually imprisoned in their house by their father. He investigates, and discovers a web of sex, incest, and Satanic possession.                                                                                                                    ",Peter Sykes                            ,/name/nm0843089/,"Robert Hardy, 
Shane Briant, 
Gillian Hills, 
Yvonne Mitchell                ","/name/nm0362735/,/name/nm0108470/,/name/nm0385122/,/name/nm0593814/                 ",1688,,D:/demo/output
tt0067009 ,One-Armed Boxer                                  ,1972,R        ,93 min ,"Action, Drama               ",6.8,"After his schoolmate and master is killed and he loses an arm, student Tien Lung has to learn the art of one-arm boxing.                                                                                                                                                                                    ",Jimmy Wang Yu                          ,/name/nm0911093/,"Jimmy Wang Yu, 
Yeh Tien, 
Hsin Tang, 
Fei Lung                              ","/name/nm0911093/,/name/nm0862886/,/name/nm2610470/,/name/nm0526694/                 ",1323,,D:/demo/output
tt0067013 ,Dostoyanie respubliki                            ,1972,         ,138 min,"Action, Adventure, Crime    ",7.2,The swordsman and the commissar crossed their swords over the treasure.                                                                                                                                                                                                                                     ,Vladimir Bychkov                       ,/name/nm0125733/,"Oleg Tabakov, 
Andrey Mironov, 
Spartak Mishulin, 
Yuriy Tolubeev            ","/name/nm0845867/,/name/nm0592490/,/name/nm0592806/,/name/nm0866264/                 ",391,,D:/demo/output
tt0067013 ,Dostoyanie respubliki                            ,1972,         ,138 min,"Action, Adventure, Crime    ",7.2,The swordsman and the commissar crossed their swords over the treasure.                                                                                                                                                                                                                                     ,Vladimir Bychkov                       ,/name/nm0125733/,"Oleg Tabakov, 
Andrey Mironov, 
Spartak Mishulin, 
Yuriy Tolubeev            ","/name/nm0845867/,/name/nm0592490/,/name/nm0592806/,/name/nm0866264/                 ",391,,D:/demo/output
tt0067013 ,Dostoyanie respubliki                            ,1972,         ,138 min,"Action, Adventure, Crime    ",7.2,The swordsman and the commissar crossed their swords over the treasure.                                                                                                                                                                                                                                     ,Vladimir Bychkov                       ,/name/nm0125733/,"Oleg Tabakov, 
Andrey Mironov, 
Spartak Mishulin, 
Yuriy Tolubeev            ","/name/nm0845867/,/name/nm0592490/,/name/nm0592806/,/name/nm0866264/                 ",391,,D:/demo/output
tt0067015 ,Doña Macabra                                    ,1972,         ,110 min,"Comedy, Mystery, Thriller   ",6.2,Add a Plot                                                                                                                                                                                                                                                                                                  ,Roberto Gavaldón                      ,/name/nm0310449/,"Marga López, 
Héctor Suárez, 
Carmen Montejo, 
Carmen Salinas             ","/name/nm0530244/,/name/nm0840782/,/name/nm0599269/,/name/nm0758345/                 ",68,,D:/demo/output
tt0067015 ,Doña Macabra                                    ,1972,         ,110 min,"Comedy, Mystery, Thriller   ",6.2,Add a Plot                                                                                                                                                                                                                                                                                                  ,Roberto Gavaldón                      ,/name/nm0310449/,"Marga López, 
Héctor Suárez, 
Carmen Montejo, 
Carmen Salinas             ","/name/nm0530244/,/name/nm0840782/,/name/nm0599269/,/name/nm0758345/                 ",68,,D:/demo/output
tt0067016 ,Dr. Jekyll vs. The Werewolf                      ,1972,Not Rated,96 min ,Horror                      ,5.5,Paul Naschy returns as El Hombre Lobo for the sixth time as he searches for a cure to his full moon madness by visiting the grandson of the infamous Dr. Jekyll.                                                                                                                                            ,León Klimovsky                        ,/name/nm0459567/,"Paul Naschy, 
Shirley Corrigan, 
Jack Taylor, 
Mirta Miller                  ","/name/nm0596701/,/name/nm0181008/,/name/nm0852488/,/name/nm0589019/                 ",604,,D:/demo/output
tt0067033 ,Los días del amor                               ,1972,         ,89 min ,"Drama, War                  ",6.9,Add a Plot                                                                                                                                                                                                                                                                                                  ,Alberto Isaac                          ,/name/nm0410478/,"Jorge Martínez de Hoyos, 
Anita Blanch, 
Arturo Beristáin, 
Marcela López ","/name/nm0554830/,/name/nm0087003/,/name/nm0075245/,/name/nm0529922/                 ",19,,D:/demo/output
